Date,Open,High,Low,Close
2013/3/11,96.15,96.634,95.95,96.586
2013/3/12,96.602,96.689,95.623,95.864
2013/3/13,95.864,96.231,95.428,96.025
2013/3/14,96.025,96.562,95.668,96.048
2013/3/15,96.049,96.255,95.06,95.26
2013/3/18,94.842,95.577,94.296,95.356
2013/3/19,95.358,95.727,94.713,95.006
2013/3/20,95.005,96.114,94.81,96.052
2013/3/21,96.051,96.075,94.554,95.063
2013/3/22,95.063,95.071,94.184,94.462
2013/3/25,94.605,94.941,93.516,94.206
2013/3/26,94.207,94.617,93.851,94.614
2013/3/27,94.615,94.888,94.023,94.334
2013/3/28,94.334,94.413,93.858,94.274
2013/3/29,94.272,94.275,93.919,94.159
2013/4/1,94.243,94.355,93.05,93.176
2013/4/2,93.179,93.538,92.552,93.355
2013/4/3,93.357,93.668,92.696,93.063
2013/4/4,93.061,96.387,92.721,96.351
2013/4/5,96.354,97.809,95.799,97.52
2013/4/8,98.301,99.482,98.061,99.461
2013/4/9,99.46,99.64,98.587,99.161
2013/4/10,99.162,99.85,98.898,99.82
2013/4/11,99.8,99.93,99.098,99.78
2013/4/12,99.78,99.78,98.081,98.41
2013/4/15,98.332,98.693,95.784,96.559
2013/4/16,96.572,98.138,96.504,97.767
2013/4/17,97.768,98.412,97.194,98.244
2013/4/18,98.245,98.501,97.624,98.208
2013/4/19,98.207,99.66,98.088,99.45
2013/4/22,99.77,99.87,98.98,99.281
2013/4/23,99.281,99.51,98.471,99.364
2013/4/24,99.366,99.74,99.185,99.51
2013/4/25,99.51,99.55,98.972,99.308
2013/4/26,99.306,99.396,97.549,98.04
2013/4/29,97.953,98.178,97.334,97.818
2013/4/30,97.818,98.107,97,97.367
2013/5/1,97.367,97.655,97.027,97.271
2013/5/2,97.272,98.374,97.075,97.903
2013/5/3,97.903,99.242,97.881,98.98
2013/5/6,99.134,99.434,99.042,99.316
2013/5/7,99.314,99.414,98.815,98.958
2013/5/8,98.958,99.145,98.583,98.939
2013/5/9,98.939,100.79,98.646,100.63
2013/5/10,100.63,101.98,100.54,101.58
2013/5/13,101.77,102.15,101.51,101.75
2013/5/14,101.76,102.43,101.26,102.27
2013/5/15,102.27,102.76,101.85,102.25
2013/5/16,102.25,102.68,101.83,102.22
2013/5/17,102.22,103.3,102.08,103.28
2013/5/20,102.58,102.91,102.17,102.25
2013/5/21,102.25,102.87,102.07,102.5
2013/5/22,102.5,103.73,102.35,103.12
2013/5/23,103.12,103.56,100.84,101.99
2013/5/24,101.99,102.58,100.68,101.09
2013/5/27,101.24,101.3,100.75,101.05
2013/5/28,101.06,102.49,101.05,102.26
2013/5/29,102.26,102.52,100.72,101.12
2013/5/30,101.12,101.79,100.47,100.75
2013/5/31,100.75,101.27,100.22,100.45
2013/6/3,100.55,100.72,98.858,99.434
2013/6/4,99.445,100.42,99.333,100.03
2013/6/5,100.04,100.45,98.966,99.142
2013/6/6,99.147,99.459,95.88,97.42
2013/6/7,97.418,97.774,95.004,97.51
2013/6/10,97.846,99.274,97.706,98.985
2013/6/11,98.985,98.985,95.604,96.028
2013/6/12,96.028,97.011,95.139,95.846
2013/6/13,95.846,95.955,93.795,95.6
2013/6/14,95.616,95.73,93.985,94.04
2013/6/17,94.178,95.209,94.167,94.638
2013/6/18,94.642,95.752,94.422,95.381
2013/6/19,95.381,97.005,94.835,96.295
2013/6/20,96.284,98.286,96.207,97.317
2013/6/21,97.317,98.124,96.866,97.764
2013/6/24,97.952,98.699,97.219,97.705
2013/6/25,97.706,98.06,96.964,97.955
2013/6/26,97.955,98.225,97.241,97.765
2013/6/27,97.767,98.563,97.567,98.425
2013/6/28,98.422,99.442,98.345,99.184
2013/7/1,99.2,99.85,99.18,99.61
2013/7/2,99.61,100.72,99.5,100.62
2013/7/3,100.63,100.85,99.257,99.93
2013/7/4,99.94,100.15,99.485,100.1
2013/7/5,100.1,101.22,99.88,101.21
2013/7/8,101.27,101.53,100.78,100.89
2013/7/9,100.89,101.3,100.77,101.08
2013/7/10,101.08,101.21,99.389,99.53
2013/7/11,99.53,99.64,98.229,98.993
2013/7/12,98.993,99.69,98.668,99.346
2013/7/15,99.244,100.48,99.068,99.94
2013/7/16,99.93,100.07,98.898,99.155
2013/7/17,99.155,99.94,99.043,99.58
2013/7/18,99.58,100.65,99.465,100.53
2013/7/19,100.53,100.86,99.8,100.35
2013/7/22,100.35,100.61,99.289,99.6
2013/7/23,99.6,100.18,99.144,99.473
2013/7/24,99.473,100.43,99.387,100.26
2013/7/25,100.26,100.45,98.876,99.262
2013/7/26,99.262,99.385,97.961,98.27
2013/7/29,98.332,98.332,97.631,97.911
2013/7/30,97.909,98.457,97.757,98.038
2013/7/31,98.038,98.512,97.577,97.793
2013/8/1,97.793,99.56,97.657,99.5
2013/8/2,99.5,99.94,98.663,98.852
2013/8/5,98.974,99.146,98.184,98.252
2013/8/6,98.258,98.579,97.51,97.765
2013/8/7,97.768,97.776,96.322,96.373
2013/8/8,96.373,96.93,95.807,96.598
2013/8/9,96.603,96.959,96.129,96.188
2013/8/12,96.313,97.145,95.918,97.087
2013/8/13,97.081,98.336,97.039,98.232
2013/8/14,98.228,98.423,97.865,98.007
2013/8/15,98.004,98.648,97.035,97.242
2013/8/16,97.257,97.767,97.048,97.531
2013/8/19,97.628,98.117,97.358,97.616
2013/8/20,97.611,97.859,96.912,97.306
2013/8/21,97.307,97.974,97.115,97.702
2013/8/22,97.706,98.808,97.691,98.764
2013/8/23,98.749,99.15,98.39,98.665
2013/8/26,98.613,98.842,98.266,98.425
2013/8/27,98.444,98.524,96.984,97.033
2013/8/28,97.033,97.829,96.806,97.71
2013/8/29,97.703,98.517,97.443,98.315
2013/8/30,98.321,98.469,97.883,98.17
2013/9/2,98.352,99.428,98.271,99.372
2013/9/3,99.369,99.86,99.17,99.56
2013/9/4,99.56,99.81,99.316,99.75
2013/9/5,99.75,100.19,99.57,100.17
2013/9/6,100.17,100.22,98.54,99.059
2013/9/9,99.76,100.1,99.335,99.62
2013/9/10,99.62,100.46,99.474,100.39
2013/9/11,100.39,100.6,99.79,99.97
2013/9/12,99.96,99.99,99.013,99.49
2013/9/13,99.489,99.97,99.193,99.24
2013/9/16,98.81,99.182,98.645,99.09
2013/9/17,99.09,99.382,99,99.124
2013/9/18,99.124,99.333,97.757,98.154
2013/9/19,98.154,99.61,97.982,99.393
2013/9/20,99.393,99.66,99.166,99.33
2013/9/23,99.261,99.354,98.649,98.792
2013/9/24,98.821,99.171,98.472,98.727
2013/9/25,98.727,98.812,98.383,98.442
2013/9/26,98.44,99.129,98.267,98.978
2013/9/27,98.98,99.033,98.092,98.23
2013/9/30,97.777,98.456,97.497,98.242
2013/10/1,98.239,98.717,97.655,98.016
2013/10/2,98.012,98.077,97.143,97.378
2013/10/3,97.373,97.87,96.929,97.222
2013/10/4,97.217,97.477,96.948,97.45
2013/10/7,97.277,97.324,96.56,96.687
2013/10/8,96.696,97.246,96.594,96.881
2013/10/9,96.883,97.637,96.823,97.365
2013/10/10,97.365,98.33,97.348,98.273
2013/10/11,98.276,98.569,97.916,98.546
2013/10/14,98.16,98.684,98.092,98.641
2013/10/15,98.646,98.701,97.989,98.201
2013/10/16,98.211,98.966,98.133,98.784
2013/10/17,98.783,98.999,97.736,97.903
2013/10/18,97.899,98.154,97.553,97.847
2013/10/21,97.921,98.238,97.836,98.174
2013/10/22,98.174,98.481,97.846,98.104
2013/10/23,98.104,98.19,97.154,97.328
2013/10/24,97.322,97.612,97.164,97.319
2013/10/25,97.324,97.485,96.938,97.384
2013/10/28,97.52,97.784,97.441,97.688
2013/10/29,97.683,98.267,97.457,98.159
2013/10/30,98.159,98.672,98.051,98.51
2013/10/31,98.51,98.565,98.085,98.349
2013/11/1,98.349,98.845,97.806,98.663
2013/11/4,98.688,98.838,98.533,98.65
2013/11/5,98.649,98.661,98.167,98.532
2013/11/6,98.531,98.75,98.401,98.633
2013/11/7,98.637,99.408,97.611,98.185
2013/11/8,98.185,99.215,97.973,99.154
2013/11/11,99.155,99.297,98.921,99.157
2013/11/12,99.157,99.8,99.102,99.62
2013/11/13,99.64,99.67,99.099,99.271
2013/11/14,99.27,100.15,99.131,100.06
2013/11/15,100.07,100.43,99.94,100.21
2013/11/18,100.25,100.39,99.79,99.93
2013/11/19,99.93,100.25,99.57,100.19
2013/11/20,100.19,100.24,99.79,100.05
2013/11/21,100.05,101.18,100.03,101.17
2013/11/22,101.17,101.35,100.95,101.32
2013/11/25,101.27,101.91,101.14,101.52
