time,close,open,high,low,volume
2010/1/4,92.4,92.914,93.2,92.18,100000
2010/1/5,91.72,92.41,92.53,91.25,100000
2010/1/6,92.34,91.71,92.73,91.52,100000
2010/1/7,93.59,92.34,93.75,92.1,100000
2010/1/8,92.65,93.58,93.66,92.28,100000
2010/1/11,92.05,92.57,92.65,91.81,100000
2010/1/12,91.12,92.05,92.41,90.71,100000
2010/1/13,91.37,91.12,91.55,90.91,100000
2010/1/14,91.25,91.38,92.03,90.84,100000
2010/1/15,90.76,91.24,91.31,90.59,100000
2010/1/18,90.65,90.89,91.05,90.61,100000
2010/1/19,91.12,90.66,91.25,90.33,100000
2010/1/20,91.26,91.13,91.45,90.79,100000
2010/1/21,90.41,91.27,91.86,90.14,100000
2010/1/22,89.81,90.41,90.55,89.79,100000
2010/1/25,90.24,89.94,90.33,89.82,100000
2010/1/26,89.62,90.26,90.55,89.34,100000
2010/1/27,89.98,89.62,90.07,89.14,100000
2010/1/28,89.88,89.98,90.53,89.62,100000
2010/1/29,90.26,89.89,90.92,89.58,100000
2010/2/1,90.7,90.2,90.93,90,100000
2010/2/2,90.37,90.71,90.91,90.26,100000
2010/2/3,90.96,90.38,91.26,90.07,100000
2010/2/4,89.12,90.96,91.07,88.55,100000
2010/2/5,89.23,89.12,89.87,88.82,100000
2010/2/8,89.26,89.15,89.55,89.14,100000
2010/2/9,89.81,89.27,89.93,89.2,100000
2010/2/10,89.96,89.79,90.05,89.27,100000
2010/2/11,89.71,89.95,90.13,89.57,100000
2010/2/12,89.93,89.72,90.4,89.59,100000
2010/2/15,90.04,90.01,90.23,89.9,100000
2010/2/16,90.2,90.04,90.51,89.71,100000
2010/2/17,91.16,90.2,91.38,90.15,100000
2010/2/18,92.01,91.17,92.04,90.57,100000
2010/2/19,91.5,92.01,92.14,91.49,100000
2010/2/22,91.19,91.62,91.87,91.02,100000
2010/2/23,90.2,91.2,91.28,89.92,100000
2010/2/24,90.18,90.2,90.35,89.76,100000
2010/2/25,89.15,90.17,90.31,88.8,100000
2010/2/26,88.96,89.15,89.5,88.75,100000
2010/3/1,89.17,88.93,89.47,88.81,100000
2010/3/2,88.75,89.16,89.37,88.54,100000
2010/3/3,88.5,88.76,88.98,88.32,100000
2010/3/4,89.1,88.52,89.24,88.14,100000
2010/3/5,90.27,89.11,90.58,89.1,100000
2010/3/8,90.28,90.41,90.67,90.14,100000
2010/3/9,89.89,90.29,90.31,89.62,100000
2010/3/10,90.51,89.9,90.81,89.9,100000
2010/3/11,90.61,90.5,90.7,90.21,100000
2010/3/12,90.55,90.6,91.07,90.16,100000
2010/3/15,90.41,90.6,90.8,90.35,100000
2010/3/16,90.32,90.42,90.72,89.99,100000
2010/3/17,90.38,90.33,90.7,90.04,100000
2010/3/18,90.47,90.38,90.79,89.76,100000
2010/3/19,90.54,90.47,90.7,90.33,100000
2010/3/22,90.14,90.48,90.76,89.83,100000
2010/3/23,90.39,90.15,90.45,90.12,100000
2010/3/24,92.11,90.4,92.39,90.35,100000
2010/3/25,92.71,92.12,92.95,91.76,100000
2010/3/26,92.519,92.7,92.89,92.3,100000
2010/3/29,92.54,92.44,92.78,92.35,100000
2010/3/30,92.78,92.53,93.01,92.13,100000
2010/3/31,93.45,92.78,93.62,92.75,100000
2010/4/1,93.87,93.45,94.02,93.29,100000
2010/4/2,94.6,93.86,94.68,93.6,100000
2010/4/5,94.32,94.66,94.66,94.08,100000
2010/4/6,93.75,94.32,94.37,93.65,100000
2010/4/7,93.26,93.74,94.26,93.15,100000
2010/4/8,93.39,93.25,93.47,92.82,100000
